_SMB_DA_TOKEN_IDS_H_   
TOKEN_USB_PORT_11_EN 0x01B8 
TOKEN_USB_PORT_12_DIS 0x01B9 
TOKEN_USB_PORT_12_EN 0x01BA 
TOKEN_USB_PORT_13_DIS 0x01BB 
TOKEN_USB_PORT_13_EN 0x01BC 
TOKEN_USB_PORT_14_DIS 0x01BD 
TOKEN_USB_PORT_14_EN 0x01BE 
TOKEN_USB_PORT_15_DIS 0x01BF 
TOKEN_USB_PORT_15_EN 0x01C0 
TOKEN_ASF_OFF 0x01C1  
TOKEN_ASF_ON 0x01C2  
TOKEN_ASF_ALERTONLY 0x01C3  
TOKEN_NODE_INTERLEAVE_DIS 0x01C4  
TOKEN_NODE_INTERLEAVE_EN 0x01C5 
TOKEN_VID_MEM_OFF 0x01C6 
TOKEN_VID_MEM_AUTO 0x01C7 
TOKEN_VID_MEM_16MB 0x01C8 
TOKEN_VID_MEM_32MB 0x01C9 
TOKEN_VID_MEM_64MB 0x01CA 
TOKEN_VID_MEM_128MB 0x01CB 
TOKEN_EMBEDED_SAS_DIS 0x01CC 
TOKEN_EMBEDED_SAS_EN 0x01CD 
TOKEN_SOUND_DEVICE_AUTO 0x01CE 
TOKEN_IOAT_DMA_EN 0x01CF 
TOKEN_IOAT_DMA_DIS 0x01D0 
TOKEN_BUILT_IN_FLOP 0x01D1  
TOKEN_REAR_QUAD_USB_OFF 0x01D2  
TOKEN_REAR_QUAD_USB_ON 0x01D3  
TOKEN_REAR_DUAL_USB_OFF 0x01D4  
TOKEN_REAR_DUAL_USB_ON 0x01D5  
TOKEN_MEMORY_LOW_PWR_DIS 0x01D6 
TOKEN_MEMORY_LOW_PWR_EN 0x01D7 
TOKEN_MOD_BAY_DEV_DIS 0x01D8 
TOKEN_MOD_BAY_DEV_EN 0x01D9 
TOKEN_NIC1_ISCSI_BOOT 0x01DA 
TOKEN_NIC2_ISCSI_BOOT 0x01DB 
TOKEN_OCUR_ROM_DISABLE 0x01DC  
TOKEN_OCUR_ROM_ENABLE 0x01DD  
TOKEN_MIC_DISABLE 0x01DE 
TOKEN_MIC_ENABLE 0x01DF 
TOKEN_NIC_IMAGE_SERVER_BOOT 0x01E0 
TOKEN_KEYBOARD_ILLUMINATION_OFF 0x01E1 
TOKEN_KEYBOARD_ILLUMINATION_ON 0x01E2 
TOKEN_KEYBOARD_ILLUMINATION_AUTO 0x01E3 
TOKEN_UART_POWERDOWN_DISABLE 0x01E4 
TOKEN_UART_POWERDOWN_ENABLE 0x01E5 
TOKEN_FSB_OPTIMIZE_DISABLE 0x01E6 
TOKEN_FSB_OPTIMIZE_ENABLE 0x01E7 
TOKEN_MEBX_HOTKEY_OFF 0x01E8  
TOKEN_MEBX_HOTKEY_ON 0x01E9 
TOKEN_CORE_BASED_TURBO_MODE_DIS 0x01EA 
TOKEN_CORE_BASED_TURBO_MODE_EN 0x01EB 
TOKEN_FLASH_CACHE_MODULE_DIS 0x01EC 
TOKEN_FLASH_CACHE_MODULE_EN 0x01ED 
TOKEN_RESUME_ON_PEN_DIS 0x01EE 
TOKEN_RESUME_ON_PEN_EN 0x01EF 
TOKEN_NIC3_DIS 0x01F0 
TOKEN_NIC3_EN 0x01F1 
TOKEN_NIC3_PXE 0x01F2 
TOKEN_NIC3_ISCSI 0x01F3 
TOKEN_NIC4_DIS 0x01F4 
TOKEN_NIC4_EN 0x01F5 
TOKEN_NIC4_PXE 0x01F6 
TOKEN_NIC4_ISCSI 0x01F7 
TOKEN_BLINK_MISSING_PEN_DIS 0x01F8 
TOKEN_BLINK_MISSING_PEN_EN 0x01F9 
TOKEN_TABLET_BUTTONS_DIS 0x01FA 
TOKEN_TABLET_BUTTONS_EN 0x01FB 
TOKEN_WATCHDOG_DIS 0x01FC 
TOKEN_WATCHDOG_EN 0x01FD 
TOKEN_SATA_QDMA 0x01FE 
TOKEN_SATA_SHADOW_QDMA 0x01FF 
TOKEN_ATG_SYSTEM_OFF 0x0200 
TOKEN_ATG_SYSTEM_ON 0x0201 
TOKEN_TXT_OFF 0x0202  
TOKEN_TXT_ON 0x0203 
TOKEN_VT_DIO_OFF 0x0204  
TOKEN_VT_DIO_ON 0x0205 
TOKEN_VA_OFF 0x0206  
TOKEN_VA_ON 0x0207 
TOKEN_VA_CONFIG_UNLOCK 0x0208  
TOKEN_VA_CONFIG_LOCK 0x0209 
TOKEN_HDD_FAN_INSTALLED 0x020A 
TOKEN_HDD_FAN_NOT_INSTALLED 0x020B 
TOKEN_OPTICAL_DRIVE_EN 0x020C 
TOKEN_OPTICAL_DRIVE_DIS 0x020D 
TOKEN_VID_MEM_256MB 0x020E 
TOKEN_VID_MEM_512MB 0x020F 
TOKEN_VID_MEM_1GB 0x0210 
TOKEN_INTERNAL_USB_DIS 0x0211 
TOKEN_INTERNAL_USB_EN 0x0212 
TOKEN_SD_CARD_DIS 0x0213 
TOKEN_SD_CARD_EN 0x0214 
TOKEN_INTERNAL_FLOP 0x0215  
TOKEN_WUOW_EN 0x0216  
TOKEN_VA_PHY_PRES_OFF 0x0217  
TOKEN_VA_PHY_PRES_ON 0x0218 
TOKEN_AMD_MEM_OPTIMIZER_EN 0x0219 
TOKEN_AMD_MEM_OPTIMIZER_DIS 0x021A 
TOKEN_AMD_COOL_AND_QUIET_EN 0x021B 
TOKEN_AMD_COOL_AND_QUIET_DIS 0x021C 
TOKEN_HIGH_BAND_MEM_MODE_EN 0x021D 
TOKEN_HIGH_BAND_MEM_MODE_DIS 0x021E 
TOKEN_DELL_PWR_MGT_MAX 0x021F 
TOKEN_DELL_PWR_MGT_MIN 0x0220 
TOKEN_DELL_PWR_MGT_DBPM_OS 0x0221 
TOKEN_DELL_PWR_MGT_DBPM_BIOS 0x0222 
TOKEN_DELL_PWR_MGT_OFF 0x0223 
TOKEN_EMBEDDED_VIDEO_EN 0x0224 
TOKEN_EMBEDDED_VIDEO_DIS 0x0225 
TOKEN_ALL_SATA_DIS 0x0226 
TOKEN_ALL_SATA_EN 0x0227 
TOKEN_EXPRESS_CHARGE_EN 0x0228 
TOKEN_EXPRESS_CHARGE_DIS 0x0229 
TOKEN_EXPRESS_CHARGE_ONCE 0x022A 
TOKEN_MINIMUM_CONFIG_EN 0x022B 
TOKEN_MINIMUM_CONFIG_DIS 0x022C 
TOKEN_BOOT_MODE_UEFI 0x022D 
TOKEN_BOOT_MODE_LEGACY 0x022E 
TOKEN_CHARGER_EN 0x022F 
TOKEN_CHARGER_DIS 0x0230 
TOKEN_4_CORES_PER_CPU 0x0231 
TOKEN_2_CORES_PER_CPU 0x0232 
TOKEN_1_CORE_PER_CPU 0x0233 
TOKEN_ASF_DASH_EN 0x0234 
TOKEN_USB_POWER_SHARE_EN 0x0235 
TOKEN_USB_POWER_SHARE_DIS 0x0236 
TOKEN_POWER_SHARE_BATTERY_CAP 0x0237 
TOKEN_NIC_3_4_EN 0x0238 
TOKEN_NIC_3_4_DIS 0x0239 
TOKEN_BUS_RATIO_MAX 0x023A  
TOKEN_BUS_RATIO_60X 0x023B  
